a 2
a 3
a 4
a 5
a 6
a 7
b 2
b 3
b 4
b 5
b 6
b 7
c 2
c 3
c 4
c 5
c 6
c 7
d 2
d 3
d 4
d 5
d 6
d 7
e 2
e 3
e 4
e 5
e 6
e 7
f 2
f 3
f 4
f 5
f 6
f 7
g 2
g 3
g 4
g 5
g 6
g 7
h 2
h 3
h 4
b takes c 7
c takes b 2
c takes b 3
c takes b 4
c takes b 5
c takes b 6
c takes b 7
c takes d 2
c takes d 3
c takes d 4
c takes d 5
c takes d 6
c takes d 7
d takes c 2
d takes c 3
d takes c 4
d takes c 5
d takes c 6
d takes c 7
d takes e 2
d takes e 3
d takes e 4
d takes e 5
d takes e 6
d takes e 7
e takes d 2
e takes d 3
e takes d 4
e takes d 5
e takes d 6
e takes d 7
e takes f 2
e takes f 3
e takes f 4
e takes f 5
e takes f 6
e takes f 7
f takes e 2
f takes e 3
f takes e 4
f takes e 5
f takes e 6
f takes e 7
f takes g 2
f takes g 3
f takes g 4
f takes g 5
f takes g 6
f takes g 7
g takes f 2
g takes f 3
g takes f 4
g takes f 5
g takes f 6
g takes f 7
g takes h 2
g takes h 3
g takes h 4
g takes h 5
g takes h 6
g takes h 7
h takes g 2
h takes g 3
h takes g 4
h takes g 5
h takes g 6
h takes g 7
queen 1 a 1
queen 1 a 2
queen 1 a 3
queen 1 a 4
queen 1 a 5
queen 1 a 6
queen 1 a 7
queen 1 a 8
queen 1 b 1
queen 1 b 2
queen 1 b 3
queen 1 b 4
queen 1 b 5
queen 1 b 6
queen 1 b 7
queen 1 b 8
queen 1 c 1
queen 1 c 2
queen 1 c 3
queen 1 c 4
queen 1 c 5
queen 1 c 6
queen 1 c 7
queen 1 c 8
queen 1 d 1
queen 1 d 2
queen 1 d 3
queen 1 d 4
queen 1 d 5
queen 1 d 6
queen 1 d 7
queen 1 d 8
queen 1 e 1
queen 1 e 2
queen 1 e 3
queen 1 e 4
queen 1 e 5
queen 1 e 6
queen 1 e 7
queen 1 e 8
queen 1 f 1
queen 1 f 2
queen 1 f 3
queen 1 f 4
queen 1 f 5
queen 1 f 6
queen 1 f 7
queen 1 f 8
queen 1 g 1
queen 1 g 2
queen 1 g 3
queen 1 g 4
queen 1 g 5
queen 1 g 6
queen 1 g 7
queen 1 g 8
queen 1 h 1
queen 1 h 2
queen 1 h 3
queen 1 h 4
queen 1 h 5
queen 1 h 6
queen 1 h 7
queen 1 h 8
queen 2 a 1
queen 2 a 2
queen 2 a 3
queen 2 a 4
queen 2 a 5
queen 2 a 6
queen 2 a 7
queen 2 a 8
queen 2 b 1
queen 2 b 2
